studynum,effect.size,var.eff.size,cite,designprob,attritprop,Tx_ITT,incarc_f,convict_f,arrest_f,recid_oth_f,Interval_f,Rrisk,sessions_c,logtxdur_c,ses_x_dur,imp_factor,Emphasis,ART,RR,MRT,Bush,IPSP,drugalc,intercept
18,0.88,0.73,Curulla (1991),2,0,1,0,0,1,0,6,1,-1.83,-0.27,0.49,0.98562,3,1,0,0,0,0,0,1
19,0.51,0.38,Robinson (1991) 28A,2,0.12,1,0,1,0,0,20,1,0.17,-0.61,-0.1,0.73544,3,0,1,0,0,0,0,1
20,0.45,0.04,Kirkpatrick (1996),2,0.03,1,0,0,1,0,12,1.5,-0.83,-0.2,0.16,-1.23005,3,0,0,0,0,0,0,1
21,0.93,0.19,Bottcher (1985),2,0,1,0,0,1,0,28,2,2.17,-0.2,-0.43,-0.84965,1,0,0,0,0,0,0,1
22,-0.02,0.13,Bonta (2000),1,0,1,0,1,0,0,12,1,2.17,-0.9,-1.95,0.36228,2,0,0,0,0,0,0,1
23,0.32,0.08,Walters (1999),1,0,2,0,0,1,0,20,1.5,-1.83,1.34,-2.46,-0.70332,2,0,0,0,0,0,0,1
24,0.92,0.12,Henning (1996),2,0,1,1,0,0,0,12,2,1.17,0.83,0.97,0.11235,3,0,0,0,1,0,0,1
25,1.52,0.12,Dowden (1999),2,0,1,0,0,1,0,35,1.5,0.67,-0.96,-0.64,-0.29568,3,0,0,0,0,0,0,1
26,0.41,0.12,Robinson (1995),2,0.34,1,0,1,0,0,6,2.5,2.17,-0.83,-1.8,0.3423,3,0,1,0,0,0,0,1
27,0.19,0.12,Knott (1995),1,0.31,1,1,0,0,0,12,2,-0.83,-0.02,0.01,-0.19811,3,0,1,0,0,0,0,1
28,-0.21,0.14,Motiuk (1996),1,0,2,0,1,0,0,24,1,-1.83,0.62,-1.14,0.02077,3,0,0,0,0,0,0,1
29,1.08,0.76,Coughlin (2003),3,0.25,2,0,0,1,0,6,2,-1.83,0.18,-0.33,-0.46571,3,0,0,0,1,0,0,1
30,0,0.01,Falshaw (2003),2,0,1,0,1,0,0,24,1,-1.33,0.49,-0.66,-0.58376,3,0,1,0,0,0,0,1
31,0.43,0.16,Johnson (1995),2,0,1,0,0,1,0,12,1,-0.83,-0.02,0.01,0.23156,2,0,1,0,0,0,0,1
32,0.81,0.58,Burnett (1997),2,0,3,0,0,1,0,12,1,-0.83,-0.2,0.16,1.09601,3,0,0,1,0,0,0,1
33,-0.19,0.08,Grandberry (1998),1,0,1,0,0,1,0,12,2,-1.83,0.18,-0.33,-1.37495,3,0,0,1,0,0,0,1
34,0.42,0.06,Deschamps (1998),2,0,1,0,0,1,0,12,2.5,0.67,-0.2,-0.13,-0.9036,3,0,0,1,0,0,0,1
35,0.29,0.08,Armstrong (2000),1,0.17,1,0,0,1,0,7,2.5,0.17,-0.61,-0.1,-0.66793,3,0,0,1,0,0,0,1
36,-0.46,0.23,Culver (1993),2,0,1,0,1,0,0,8,1.5,-2.13,-0.08,0.17,-0.17761,3,0,0,0,0,1,0,1
37,0.13,0.01,Cann (2003) [adult m,2,0,1,0,1,0,0,12,1,-1.33,0.18,-0.24,-0.56693,3,0,1,0,0,0,0,1
38,0.09,0.01,Cann (2003) [juvenil,2,0,1,0,1,0,0,12,1.5,-1.33,0.18,-0.24,-0.6511,3,0,1,0,0,0,0,1
39,0.1,0.02,Voorhis (unknown yea,2,0,1,1,0,0,0,12,1.5,-0.83,0.67,-0.56,0.48462,3,0,1,0,0,0,0,1
40,0.18,0.04,VanVoorhis (2004),2,0.01,1,0,0,1,0,13,2,-0.83,-0.08,0.06,-0.67138,3,0,1,0,0,0,0,1
41,0.35,0.23,Golden (2003),2,0.15,1,0,0,1,0,12,1,-0.83,-0.51,0.42,0.34995,3,0,0,0,1,0,0,1
42,0.25,0.13,Barnoski (2002),1,0,1,0,1,0,0,12,2,4.17,-1.12,-4.66,0.73225,3,0,0,0,0,0,0,1
43,0.29,0.01,Barnoski (2002),2,0,1,0,1,0,0,12,2,0.17,-0.61,-0.1,0.75714,3,1,0,0,0,0,0,1
44,0.36,0.13,Friedman (2002),2,0.2,1,0,0,0,1,6,2,-0.83,0.75,-0.63,0.73142,2,0,0,0,0,0,0,1
45,0.01,0.41,"Thambidurai, G. A.",2,0.04,1,0,0,1,0,6,2.5,-0.83,-0.2,0.16,1.68403,1,0,0,0,0,0,0,1
46,1.34,0.76,Arbuthnot,2,0,1,0,0,1,0,1,1,-1.83,-0.02,0.03,2.65887,3,0,0,0,0,0,0,1
47,0.64,0.85,Spencer (1986),2,0.35,2,0,0,1,0,5,1,-1.33,0.09,-0.12,1.07801,3,1,0,0,0,0,0,1
48,0.43,0.04,Greenwood (1993),2,0,1,0,1,0,0,24,1.5,3.17,1.26,4,-1.25367,2,0,0,0,0,0,0,1
49,0.05,0.02,State of Washington,2,0,3,0,0,1,0,6,1,-0.83,0.09,-0.08,-1.20317,1,0,0,1,0,0,0,1
50,0.39,0.02,T3 Associates (1999),2,0,1,0,1,0,0,12,3,-1.83,0.35,-0.65,-0.60461,2,0,0,0,0,0,1,1
51,0.57,0.09,Hanson (2000) - now,2,0.01,1,0,0,1,0,12,2,3.17,-0.27,-0.85,-1.10647,1,0,0,1,0,0,0,1
52,1.08,0.11,"Hall, Prendergast, W",2,0.17,1,0,0,1,0,12,3,2.17,0.78,1.7,0.55197,1,0,0,0,0,0,1,1
53,-0.14,0.11,Landenberger (2004).,3,0,3,1,0,0,0,8,2,0.17,-0.14,-0.02,-1.18633,2,0,0,0,0,0,0,1
54,1.49,0.01,"Anderson, J. (2002).",2,0.01,1,0,1,0,0,12,1.5,4.17,-0.83,-3.45,0.3423,1,0,0,1,0,0,0,1
55,1.04,0.26,"McCracken, L., Hearn",2,0,1,0,0,1,0,12,3,2.17,0.67,1.46,-1.53984,1,0,0,1,0,0,0,1
56,0.63,0.12,"Berry, S. (1998)",2,0,1,0,1,0,0,12,2,7.17,-0.83,-5.93,0.75138,1,0,0,0,1,0,0,1
57,0.31,0.01,"Pelissier,  2001",1,0.1,3,0,0,1,0,36,1.5,2.17,1.12,2.43,-0.92215,1,0,0,0,0,0,1,1
58,0,0.08,"Pelissier,  2001",1,0.16,3,0,0,1,0,36,1,2.17,1.12,2.43,-1.09049,1,0,0,0,0,0,1,1
